Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb",,"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb",,"Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb","Error: The response is not valid JSON: ```json
{
    ""Marketing_authorisation_number"": ""EMA/176217/2021"",
    ""Procedure_number"": ""EMEA/H/C/005327/0000"",
    ""Drug_name"": ""Abevmy"",
    ""Non_proprietary_name"": ""bevacizumab"",
    ""Marketing_authorisation_holder"": ""Mylan IRE Healthcare Limited"",
    ""Drug_class"": ""Biologics"",
    ""Pharmaceutical_form"": ""concentrate for solution for infusion"",
    ""Administration_route"": ""intravenous"",
    ""Decision"": ""approved"",
    ""Current_status"": ""authorised"",
    ""Decision_date"": ""25.02.2021"",
    ""Decision_year"": ""2021"",
    ""Orphan_drug_status"": ""no"",
    ""Indication_extended"": ""no"",
    ""Indication_requested"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carboplatin and paclitaxel, is indicated for treatment of adult patients with first recurrence of platinum-sensitive epithelial ovarian, fallopian tube or primary peritoneal cancer who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy in combination with paclitaxel, topotecan, or pegylated liposomal doxorubicin is indicated for the treatment of adult patients with platinum-resistant recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who received no more than two prior chemotherapy regimens and who have not received prior therapy with bevacizumab or other VEGF inhibitors or VEGF receptor–targeted agents. Abevmy, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix."",
    ""Indication_approved"": ""Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Abevmy in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. Abevmy in combination with capecitabine is indicated for first-line treatment of adult patients with metastatic breast cancer in whom treatment with other chemotherapy options including taxanes or anthracyclines is not considered appropriate. Abevmy, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Abevmy, in combination with erlotinib, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer with Epidermal Growth Factor Receptor (EGFR) activating mutations. Abevmy in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Abevmy, in combination with carboplatin and paclitaxel is indicated for the front-line treatment of adult patients with advanced (International Federation of Gynecology and Obstetrics [FIGO] stages III B, III C and IV) epithelial ovarian, fallopian tube, or primary peritoneal cancer. Abevmy, in combination with carboplatin and gemcitabine or in combination with carb",
Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,"<Multiple Myeloma>; <Lymphoma, Mantle-Cell>; <Waldenstrom Macroglobulinemia>; <Lymphoma, Lymphoplasmacytic>",,Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,"<Multiple Myeloma>; <Lymphoma, Mantle-Cell>; <Waldenstrom Macroglobulinemia>; <Lymphoma, Lymphoplasmacytic>",,Janssen Pharmaceutical K.K.,Janssen,
Subfoveal choroidal neovascularization secondary to age-related macular degeneration,<Macular Degeneration>,,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,<Choroidal Neovascularization>; <Macular Degeneration>,,Pfizer Japan Inc.,Pfizer,
Primary Hypercholesterolaemia; Homozygous Familial Hypercholesterolaemia (HoFH),<Hypercholesterolemia>,,Primary Hypercholesterolaemia; Homozygous Familial Hypercholesterolaemia (HoFH),<Hypercholesterolemia>,,Merck Sharp & Dohme (Australia) Pty Limited,Merck Sharp & Dohme,
"Pomalidomide, in combination with dexamethasone, is indicated for the treatment of patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.",<Multiple Myeloma>,,Treatment of patients with multiple myeloma who have failed at least two prior therapies including lenalidomide and a proteasome inhibitor.,<Multiple Myeloma>,,Celgene Australia Pty Ltd,Celgene,
first-line treatment of hairy cell leukaemia,<Hairy Cell Leukemia>,,first-line treatment of hairy cell leukaemia,<Hairy Cell Leukemia>,,Lipomed,Lipomed,
Prophylaxis of influenza in an officially declared pandemic situation.,<Influenza>,,Prophylaxis of influenza in an officially declared pandemic situation.,<Influenza>,,Baxter Healthcare Pty Ltd,Baxter,
Treatment of adult patients (18 years or older) with moderate to severe plaque psoriasis who are candidates for systemic therapy or phototherapy.,<Plaque Psoriasis>,,"Treatment of moderate to severe plaque psoriasis, scalp, nail, and hand and foot psoriasis and improvement of health related quality of life in adult patients who are candidates for systemic therapy or phototherapy.",<Psoriasis>,,Janssen-Cilag Pty Ltd,Janssen-Cilag,
treatment of anaemia associated with chronic kidney disease (CKD),<Anemia>; <Chronic Kidney Disease>,,treatment of anaemia associated with chronic kidney disease (CKD),<Anemia>; <Chronic Kidney Disease>,,Roche,Roche,
,Not Reported,,Regular treatment of asthma in adults where use of a combination product (inhaled corticosteroid and long-acting β2-agonist) is appropriate,<Asthma>,,Laboratoires SMB s.a.,SMB,
"monotherapy treatment of adult patients with platinum-sensitive, relapsed or progressive, BRCA mutated (germline and/or somatic), high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have been treated with two or more prior lines of platinum-based chemotherapy, and who are unable to tolerate further platinum-based chemotherapy",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,,"monotherapy treatment of advanced ovarian cancer in adult patients with deleterious BRCA-mutated tumours, inclusive of both germline BRCA and somatic BRCA mutations, and who have been treated with two or more prior lines of chemotherapy",<Ovarian Neoplasms>,,Clovis Oncology UK Ltd,Clovis,
Tidhesco in combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) with an isocitrate dehydrogenase-1 (IDH1) R132 mutation who are not eligible to receive standard induction chemotherapy.,"<Leukemia, Myeloid, Acute>",,Tidhesco in combination with azacitidine is indicated for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) with an isocitrate dehydrogenase-1 (IDH1) mutation who are not eligible to receive intensive induction chemotherapy.,"<Leukemia, Myeloid, Acute>",,Les Laboratoires Servier,Servier,
Treatment of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,,MSD K.K.,MSD,
Treatment of schizophrenia in adults; Treatment of acute manic or mixed episodes associated with Bipolar 1 Disorder in adults as monotherapy or in combination with lithium or sodium valproate; Prevention of relapse of manic or mixed episodes in Bipolar 1 Disorder in adults as monotherapy or in combination with lithium or sodium valproate.,<Schizophrenia>; <Bipolar Disorder>,,Treatment of schizophrenia including prevention of relapse and maintenance of clinical improvement during continuation therapy; Treatment of acute mania or mixed episodes associated with bipolar disorder and maintenance of clinical improvement during the manic episode as monotherapy or in combination with lithium or sodium valproate.,<Schizophrenia>; <Bipolar Disorder>,,Schering-Plough Pty Limited,Schering-Plough,
treatment of adult patients aged 18 years and older with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,treatment of adult patients aged 18 years and older with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,,Takeda Pharma A/S,Takeda,
Active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus RSV-A and RSV-B subtypes in adults 60 years of age and older.,<Respiratory Tract Diseases>,,Active immunisation for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus RSV-A and RSV-B subtypes in adults 60 years of age and older.,<Respiratory Tract Diseases>,,GlaxoSmithkline Biologicals S.A.,GlaxoSmithKline,
Prevention of Venous Thromboembolic Events (VTE) in patients undergoing major orthopaedic surgery of the lower limbs,<Venous Thromboembolism>,,Prevention of Venous Thromboembolic Events (VTE) in patients undergoing major orthopaedic surgery of the lower limbs,<Venous Thromboembolism>,,Not reported,Not Reported,
treatment of patients with relapsed small cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate; in combination with cisplatin for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with Stage IVB disease,<Small Cell Lung Carcinoma>; <Carcinoma of the Cervix>,,treatment of patients with relapsed small cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate; in combination with cisplatin for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with Stage IVB disease,<Small Cell Lung Carcinoma>; <Carcinoma of the Cervix>,,Hospira UK Limited,Hospira,
Treatment of patients with phenylketonuria (PKU) aged 16 years and older who have inadequate blood phenylalanine control despite prior management with available treatment options.,<Phenylketonurias>,,Treatment of adults with phenylketonuria (PKU) who have inadequate blood phenylalanine control despite prior management with available treatment options including sapropterin.,<Phenylketonurias>,,BioMarin International Limited,BioMarin,
